LeagueID;LeagueCountry
A1;Austria
AR1N;Argentina
AUS1;Australia
BE1;Belgium
BRA1;Brazil
C1;Switzerland
C2;Switzerland
DK1;Denmark
ES1;Spain
ES2;Spain
FI1;Finland
FR1;France
FR2;France
GB1;United Kingdom
GB2;United Kingdom
GB3;United Kingdom
GB4;United Kingdom
GR1;Greece
IT1;Italy
IT2;Italy
JAP1;Japan
KR1;Croatia
L1;Germany
L2;Germany
L3;Germany
MEXA;Mexico
MLS1;United States
NL1;Netherlands
NO1;Norway
PL1;Poland
PO1;Portugal
RO1;Romania
RU1;Russia
SC1;Scotland
SE1;Sweden
SFA1;South Africa
TR1;Turkey
TS1;Czech Republic
UAE1;United Arab Emirates